Product Title,SEO Title (<=60),Meta Description (<=160),Short Description,Long Description,Keywords,Category (Suggested),Target Gender,Brand,Image Folder,Main Image File,Price,Main Image Source
"adidas Ice Dive Eau de Toilette, Refreshing Men's Fragrance with a Woody Aromatic Scent for a Positive Appearance – 1 x 50 ml","adidas Ice Dive Eau de Toilette, Refreshing Men's Fragrance…","Shop adidas Ice Dive Eau de Toilette, Refreshing Men's Fragrance with a Woody Aromatic Scent for a Positive Appearance – 1 x 50 ml by adidas, a standout in…","adidas adidas Ice Dive Eau de Toilette, Refreshing Men's Fragrance with a Woody Aromatic Scent for a Positive Appearance – 1 x 50 ml | Beauty essential | Priced at £9.79","Experience adidas Ice Dive Eau de Toilette, Refreshing Men's Fragrance with a Woody Aromatic Scent for a Positive Appearance – 1 x 50 ml from adidas—a trusted beauty favourite. Customers rate it 4.6 out of 5 for quality and results. Perfect for Amazon FBA listings with reliable performance data. ASIN: B0010ZETCY","adidas, ice, dive, eau, toilette, refreshing, men's, fragrance, woody, aromatic, scent, positive, appearance, beauty",Beauty,Men,adidas,images/adidas-ice-dive-eau-de-toilette,1.webp,£9.79,https://m.media-amazon.com/images/I/71fO5xJSKSL.jpg
Vaseline Intensive Care Healthy Hands Stronger Nails with keratin 200 ml,Vaseline Intensive Care Healthy Hands Stronger Nails with…,"Shop Vaseline Intensive Care Healthy Hands Stronger Nails with keratin 200 ml by Vaseline, a standout in beauty on Amazon. Great choice for FBA sellers seeking…",Vaseline Vaseline Intensive Care Healthy Hands Stronger Nails with keratin 200 ml | Beauty essential | Priced at £4.78,Experience Vaseline Intensive Care Healthy Hands Stronger Nails with keratin 200 ml from Vaseline—a trusted beauty favourite. Customers rate it 4.7 out of 5 for quality and results. Perfect for Amazon FBA listings with reliable performance data. ASIN: B0018KJ1YW,"vaseline, intensive, care, healthy, hands, stronger, nails, keratin, 200, beauty",Beauty,Unisex,Vaseline,images/vaseline-intensive-care-healthy-hands-stronger,1.webp,£4.78,https://m.media-amazon.com/images/I/61oCNLu8m6L.jpg
Police Eau de Toilette for Men - 100 ml,Police Eau de Toilette for Men - 100 ml,"Shop Police Eau de Toilette for Men - 100 ml by Police, a standout in beauty on Amazon. Great choice for FBA sellers seeking steady demand.",Police Police Eau de Toilette for Men - 100 ml | Beauty essential | Priced at £11.94,Experience Police Eau de Toilette for Men - 100 ml from Police—a trusted beauty favourite. Customers rate it 4.4 out of 5 for quality and results. Perfect for Amazon FBA listings with reliable performance data. ASIN: B0019EV5DW,"police, eau, toilette, men, 100, beauty",Beauty,Men,Police,images/police-eau-de-toilette-for-men,1.webp,£11.94,https://m.media-amazon.com/images/I/6184-db9cOL.jpg
Revlon Colorsilk Haircolor #30 Dark Brown 3N,Revlon Colorsilk Haircolor #30 Dark Brown 3N,"Shop Revlon Colorsilk Haircolor #30 Dark Brown 3N by Revlon, a standout in beauty on Amazon. Great choice for FBA sellers seeking steady demand.",Revlon Revlon Colorsilk Haircolor #30 Dark Brown 3N | Beauty essential | Priced at £6.90,Experience Revlon Colorsilk Haircolor #30 Dark Brown 3N from Revlon—a trusted beauty favourite. Customers rate it 4.3 out of 5 for quality and results. Perfect for Amazon FBA listings with reliable performance data. ASIN: B001B2S328,"revlon, colorsilk, haircolor, dark, brown, beauty",Beauty,Unisex,Revlon,images/revlon-colorsilk-haircolor-30-dark-brown,1.webp,£6.90,https://m.media-amazon.com/images/I/81lNPb3ap3L.jpg
Wilkinson Sword Systems Quattro Men's Razor Blade Refills x 8,Wilkinson Sword Systems Quattro Men's Razor Blade Refills x…,"Shop Wilkinson Sword Systems Quattro Men's Razor Blade Refills x 8 by Wilkinson Sword, a standout in health & personal care on Amazon. Great choice for FBA…",Wilkinson Sword Wilkinson Sword Systems Quattro Men's Razor Blade Refills x 8 | Health & Personal Care essential | Priced at £7.65,Experience Wilkinson Sword Systems Quattro Men's Razor Blade Refills x 8 from Wilkinson Sword—a trusted health & personal care favourite. Customers rate it 4.6 out of 5 for quality and results. Perfect for Amazon FBA listings with reliable performance data. ASIN: B001C71GTE,"wilkinson, sword, systems, quattro, men's, razor, blade, refills, health, personal, care",Health & Personal Care,Men,Wilkinson Sword,images/wilkinson-sword-systems-quattro-mens-razor,1.webp,£7.65,https://m.media-amazon.com/images/I/A1OXpiDxeVL.jpg
Old Spice After Shave Lotion Original 100Ml,Old Spice After Shave Lotion Original 100Ml,"Shop Old Spice After Shave Lotion Original 100Ml by Old Spice, a standout in health & personal care on Amazon. Great choice for FBA sellers seeking steady…",Old Spice Old Spice After Shave Lotion Original 100Ml | Health & Personal Care essential | Priced at £8.95,Experience Old Spice After Shave Lotion Original 100Ml from Old Spice—a trusted health & personal care favourite. Customers rate it 4.6 out of 5 for quality and results. Perfect for Amazon FBA listings with reliable performance data. ASIN: B001E80DLI,"old, spice, after, shave, lotion, original, 100ml, health, personal, care",Health & Personal Care,Unisex,Old Spice,images/old-spice-after-shave-lotion-original,1.webp,£8.95,https://m.media-amazon.com/images/I/71ZN6Q4G2zL.jpg
"Yankee Candle Scented Candle, Mango Peach Salsa Small Jar Candle, Burn Time: Up to 30 Hours","Yankee Candle Scented Candle, Mango Peach Salsa Small Jar…","Shop Yankee Candle Scented Candle, Mango Peach Salsa Small Jar Candle, Burn Time: Up to 30 Hours by Yankee Candle, a standout in home & kitchen on Amazon…","Yankee Candle Yankee Candle Scented Candle, Mango Peach Salsa Small Jar Candle, Burn Time: Up to 30 Hours | Home & Kitchen essential | Priced at £9.50","Experience Yankee Candle Scented Candle, Mango Peach Salsa Small Jar Candle, Burn Time: Up to 30 Hours from Yankee Candle—a trusted home & kitchen favourite. Customers rate it 4.5 out of 5 for quality and results. Perfect for Amazon FBA listings with reliable performance data. ASIN: B001PNKPWY","yankee, candle, scented, mango, peach, salsa, small, jar, burn, time, hours, home, kitchen",Home & Kitchen,Unisex,Yankee Candle,images/yankee-candle-scented-candle-mango-peach,1.webp,£9.50,https://m.media-amazon.com/images/I/81nrkvwdB8L.jpg
"E45 Moisturising Lotion 500 ml for Dry & Sensitive Skin - Long-Lasting Hydration Protect from Dryness, Reduce Redness - Dermatological Body Moisturiser Lotion - Body Lotion - Daily Moisturiser",E45 Moisturising Lotion 500 ml for Dry & Sensitive Skin …,"Shop E45 Moisturising Lotion 500 ml for Dry & Sensitive Skin - Long-Lasting Hydration Protect from Dryness, Reduce Redness - Dermatological Body Moisturiser…","E45 E45 Moisturising Lotion 500 ml for Dry & Sensitive Skin - Long-Lasting Hydration Protect from Dryness, Reduce Redness - Dermatological Body Moisturiser Lotion - Body Lotion - Daily Moisturiser | Beauty essential | Priced at £6.81","Experience E45 Moisturising Lotion 500 ml for Dry & Sensitive Skin - Long-Lasting Hydration Protect from Dryness, Reduce Redness - Dermatological Body Moisturiser Lotion - Body Lotion - Daily Moisturiser from E45—a trusted beauty favourite. Customers rate it 4.7 out of 5 for quality and results. Perfect for Amazon FBA listings with reliable performance data. ASIN: B001RYSEVK","e45, moisturising, lotion, 500, dry, sensitive, skin, long, lasting, hydration, protect, dryness, reduce, redness, dermatological",Beauty,Unisex,E45,images/e45-moisturising-lotion-500-ml-for,1.webp,£6.81,https://m.media-amazon.com/images/I/51W4NCbUcXL.jpg
"Tommee Tippee Closer to Nature Clear Baby Bottle, 150 ml, 42240074","Tommee Tippee Closer to Nature Clear Baby Bottle, 150 ml…","Shop Tommee Tippee Closer to Nature Clear Baby Bottle, 150 ml, 42240074 by Tommee Tippee, a standout in baby products on Amazon. Great choice for FBA sellers…","Tommee Tippee Tommee Tippee Closer to Nature Clear Baby Bottle, 150 ml, 42240074 | Baby Products essential | Priced at £7.20","Experience Tommee Tippee Closer to Nature Clear Baby Bottle, 150 ml, 42240074 from Tommee Tippee—a trusted baby products favourite. Customers rate it 4.6 out of 5 for quality and results. Perfect for Amazon FBA listings with reliable performance data. ASIN: B002B8IMT0","tommee, tippee, closer, nature, clear, baby, bottle, 150, 42240074, products",Baby Products,Unisex,Tommee Tippee,images/tommee-tippee-closer-to-nature-clear,1.webp,£7.20,https://m.media-amazon.com/images/I/515sMW86ZjL.jpg
E45 Bath Oil 500 ml – E45 Bath Oil Emollient to Moisturise & Hydrate Dry Skin – Gently Cleanses for Soft Skin – Soap Free & Perfume Free Emollient Bath & Shower Oil Body Wash - Dermatologically Tested,E45 Bath Oil 500 ml – E45 Bath Oil Emollient to Moisturise…,Shop E45 Bath Oil 500 ml – E45 Bath Oil Emollient to Moisturise & Hydrate Dry Skin – Gently Cleanses for Soft Skin – Soap Free & Perfume Free Emollient Bath &…,E45 E45 Bath Oil 500 ml – E45 Bath Oil Emollient to Moisturise & Hydrate Dry Skin – Gently Cleanses for Soft Skin – Soap Free & Perfume Free Emollient Bath & Shower Oil Body Wash - Dermatologically Tested | Beauty essential | Priced at £7.87,Experience E45 Bath Oil 500 ml – E45 Bath Oil Emollient to Moisturise & Hydrate Dry Skin – Gently Cleanses for Soft Skin – Soap Free & Perfume Free Emollient Bath & Shower Oil Body Wash - Dermatologically Tested from E45—a trusted beauty favourite. Customers rate it 4.7 out of 5 for quality and results. Perfect for Amazon FBA listings with reliable performance data. ASIN: B002J9DEZ8,"e45, bath, oil, 500, emollient, moisturise, hydrate, dry, skin, gently, cleanses, soft, soap, free, perfume",Beauty,Unisex,E45,images/e45-bath-oil-500-ml-e45,1.webp,£7.87,https://m.media-amazon.com/images/I/51AbQLUDHoL.jpg
Bioderma Sensibio H2O Micellar Water - 500ML,Bioderma Sensibio H2O Micellar Water - 500ML,"Shop Bioderma Sensibio H2O Micellar Water - 500ML by Bioderma, a standout in beauty on Amazon. Great choice for FBA sellers seeking steady demand.",Bioderma Bioderma Sensibio H2O Micellar Water - 500ML | Beauty essential | Priced at £12.78,Experience Bioderma Sensibio H2O Micellar Water - 500ML from Bioderma—a trusted beauty favourite. Customers rate it 4.6 out of 5 for quality and results. Perfect for Amazon FBA listings with reliable performance data. ASIN: B002XZLAWM,"bioderma, sensibio, h2o, micellar, water, 500ml, beauty",Beauty,Unisex,Bioderma,images/bioderma-sensibio-h2o-micellar-water,1.webp,£12.78,https://m.media-amazon.com/images/I/51D9UzBWcqL.jpg
"Hot Wheels Set of 5 Toy Cars, Extreme Race Assorted Styles, Toy Vehicles in 1:64 Scale with Realistic Details and Decos, Collectible Cars for Kids Ages 3 and Up, 1806","Hot Wheels Set of 5 Toy Cars, Extreme Race Assorted Styles…","Shop Hot Wheels Set of 5 Toy Cars, Extreme Race Assorted Styles, Toy Vehicles in 1:64 Scale with Realistic Details and Decos, Collectible Cars for Kids Ages 3…","Hot Wheels Hot Wheels Set of 5 Toy Cars, Extreme Race Assorted Styles, Toy Vehicles in 1:64 Scale with Realistic Details and Decos, Collectible Cars for Kids Ages 3 and Up, 1806 | Toys & Games essential | Priced at £8.98","Experience Hot Wheels Set of 5 Toy Cars, Extreme Race Assorted Styles, Toy Vehicles in 1:64 Scale with Realistic Details and Decos, Collectible Cars for Kids Ages 3 and Up, 1806 from Hot Wheels—a trusted toys & games favourite. Customers rate it 4.7 out of 5 for quality and results. Perfect for Amazon FBA listings with reliable performance data. ASIN: B002ZCZ0F6","hot, wheels, toy, cars, extreme, race, assorted, styles, vehicles, scale, realistic, details, decos, collectible, kids",Toys & Games,Unisex,Hot Wheels,images/hot-wheels-set-of-5-toy,1.webp,£8.98,https://m.media-amazon.com/images/I/81NQaig8F3L.jpg
Rose by Aromatherapy Associates Hydrating Rose Exfoliating Cleanser 100ml,Rose by Aromatherapy Associates Hydrating Rose Exfoliating…,"Shop Rose by Aromatherapy Associates Hydrating Rose Exfoliating Cleanser 100ml by AROMATHERAPY ASSOCIATES, a standout in beauty on Amazon. Great choice for FBA…",AROMATHERAPY ASSOCIATES Rose by Aromatherapy Associates Hydrating Rose Exfoliating Cleanser 100ml | Beauty essential | Priced at £29.00,Experience Rose by Aromatherapy Associates Hydrating Rose Exfoliating Cleanser 100ml from AROMATHERAPY ASSOCIATES—a trusted beauty favourite. Customers rate it 4.7 out of 5 for quality and results. Perfect for Amazon FBA listings with reliable performance data. ASIN: B00315CLHG,"aromatherapy, associates, rose, hydrating, exfoliating, cleanser, 100ml, beauty",Beauty,Unisex,AROMATHERAPY ASSOCIATES,images/rose-by-aromatherapy-associates-hydrating-rose,1.webp,£29.00,https://m.media-amazon.com/images/I/517tQNxJwOL.jpg
"Elizabeth Arden Eight Hour Cream Skin Protectant Original for Face & Body, 50ml, Soothes & Protects Skin, Hydrates & Nourishes Dry, Chapped Skin, Unisex",Elizabeth Arden Eight Hour Cream Skin Protectant Original…,"Shop Elizabeth Arden Eight Hour Cream Skin Protectant Original for Face & Body, 50ml, Soothes & Protects Skin, Hydrates & Nourishes Dry, Chapped Skin, Unisex…","Elizabeth Arden Elizabeth Arden Eight Hour Cream Skin Protectant Original for Face & Body, 50ml, Soothes & Protects Skin, Hydrates & Nourishes Dry, Chapped Skin, Unisex | Beauty essential | Priced at £18.90","Experience Elizabeth Arden Eight Hour Cream Skin Protectant Original for Face & Body, 50ml, Soothes & Protects Skin, Hydrates & Nourishes Dry, Chapped Skin, Unisex from Elizabeth Arden—a trusted beauty favourite. Customers rate it 4.5 out of 5 for quality and results. Perfect for Amazon FBA listings with reliable performance data. ASIN: B00375L8SI","elizabeth, arden, eight, hour, cream, skin, protectant, original, face, body, 50ml, soothes, protects, hydrates, nourishes",Beauty,Unisex,Elizabeth Arden,images/elizabeth-arden-eight-hour-cream-skin,1.webp,£18.90,https://m.media-amazon.com/images/I/610FyaxqnUL.jpg
Panasonic AA Zinc Carbon Single Use Batteries 4 pack (Package may vary),Panasonic AA Zinc Carbon Single Use Batteries 4 pack…,"Shop Panasonic AA Zinc Carbon Single Use Batteries 4 pack (Package may vary) by Panasonic, a standout in electronics & photo on Amazon. Great choice for FBA…",Panasonic Panasonic AA Zinc Carbon Single Use Batteries 4 pack (Package may vary) | Electronics & Photo essential | Priced at £2.49,Experience Panasonic AA Zinc Carbon Single Use Batteries 4 pack (Package may vary) from Panasonic—a trusted electronics & photo favourite. Customers rate it 4.5 out of 5 for quality and results. Perfect for Amazon FBA listings with reliable performance data. ASIN: B003GP8BBG,"panasonic, zinc, carbon, single, use, batteries, package, may, vary, electronics, photo",Electronics & Photo,Unisex,Panasonic,images/panasonic-aa-zinc-carbon-single-use,1.webp,£2.49,https://m.media-amazon.com/images/I/61oal+dpn9L.jpg
Schwarzkopf Osis Plus Mess Up 100 ml,Schwarzkopf Osis Plus Mess Up 100 ml,"Shop Schwarzkopf Osis Plus Mess Up 100 ml by OSiS+, a standout in beauty on Amazon. Great choice for FBA sellers seeking steady demand.",OSiS+ Schwarzkopf Osis Plus Mess Up 100 ml | Beauty essential | Priced at £8.59,Experience Schwarzkopf Osis Plus Mess Up 100 ml from OSiS+—a trusted beauty favourite. Customers rate it 4.6 out of 5 for quality and results. Perfect for Amazon FBA listings with reliable performance data. ASIN: B003H7FOEU,"osis, schwarzkopf, plus, mess, 100, beauty",Beauty,Unisex,OSiS+,images/schwarzkopf-osis-plus-mess-up-100,1.webp,£8.59,https://m.media-amazon.com/images/I/718FxI8OK7L.jpg
"Rockface Mens Shower Gel, All in One Body Wash for Men, Fresh Masculine Scent, 200ml,Classic","Rockface Mens Shower Gel, All in One Body Wash for Men…","Shop Rockface Mens Shower Gel, All in One Body Wash for Men, Fresh Masculine Scent, 200ml,Classic by Rockface, a standout in beauty on Amazon. Great choice for…","Rockface Rockface Mens Shower Gel, All in One Body Wash for Men, Fresh Masculine Scent, 200ml,Classic | Beauty essential | Priced at £12.99","Experience Rockface Mens Shower Gel, All in One Body Wash for Men, Fresh Masculine Scent, 200ml,Classic from Rockface—a trusted beauty favourite. Customers rate it 4.5 out of 5 for quality and results. Perfect for Amazon FBA listings with reliable performance data. ASIN: B003IDJZHA","rockface, mens, shower, gel, all, one, body, wash, men, fresh, masculine, scent, 200ml, classic, beauty",Beauty,Men,Rockface,images/rockface-mens-shower-gel-all-in,1.webp,£12.99,https://m.media-amazon.com/images/I/61Ebq-ipokL.jpg
La Roche Posay Effaclar Purifying Foaming Gel for oily sensitive skin 400ml,La Roche Posay Effaclar Purifying Foaming Gel for oily…,"Shop La Roche Posay Effaclar Purifying Foaming Gel for oily sensitive skin 400ml by La Roche-Posay, a standout in beauty on Amazon. Great choice for FBA…",La Roche-Posay La Roche Posay Effaclar Purifying Foaming Gel for oily sensitive skin 400ml | Beauty essential | Priced at £18.20,Experience La Roche Posay Effaclar Purifying Foaming Gel for oily sensitive skin 400ml from La Roche-Posay—a trusted beauty favourite. Customers rate it 4.6 out of 5 for quality and results. Perfect for Amazon FBA listings with reliable performance data. ASIN: B003JSEGNC,"roche, posay, effaclar, purifying, foaming, gel, oily, sensitive, skin, 400ml, beauty",Beauty,Unisex,La Roche-Posay,images/la-roche-posay-effaclar-purifying-foaming,1.webp,£18.20,https://m.media-amazon.com/images/I/41Lh6e8F2TL.jpg
"Dove Nourishing Hand Wash Fine Silk Refill Pack, 2-Pack (2 x 500 ml)","Dove Nourishing Hand Wash Fine Silk Refill Pack, 2-Pack (2…","Shop Dove Nourishing Hand Wash Fine Silk Refill Pack, 2-Pack (2 x 500 ml) by Dove, a standout in beauty on Amazon. Great choice for FBA sellers seeking steady…","Dove Dove Nourishing Hand Wash Fine Silk Refill Pack, 2-Pack (2 x 500 ml) | Beauty essential | Priced at £7.07","Experience Dove Nourishing Hand Wash Fine Silk Refill Pack, 2-Pack (2 x 500 ml) from Dove—a trusted beauty favourite. Customers rate it 4.6 out of 5 for quality and results. Perfect for Amazon FBA listings with reliable performance data. ASIN: B004H5FAKE","dove, nourishing, hand, wash, fine, silk, refill, 500, beauty",Beauty,Unisex,Dove,images/dove-nourishing-hand-wash-fine-silk,1.webp,£7.07,https://m.media-amazon.com/images/I/51-USkrwNdL.jpg
